Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Wei, CC",,,,"Wei, Chih-Chiang",,,COLLAPSE WARNING SYSTEM USING LSTM NEURAL NETWORKS FOR CONSTRUCTION DISASTER PREVENTION IN EXTREME WIND WEATHER,JOURNAL OF CIVIL ENGINEERING AND MANAGEMENT,,,,Article,,,,,,wind forecasting; machine learning; construction engineering; collapse warning; extreme weather,SUPPORT VECTOR REGRESSION; BIDIRECTIONAL LSTM; GENETIC ALGORITHMS; PREDICTION; CLASSIFICATION; PARAMETERS; FAILURE; CONTEXT,"Strong wind during extreme weather conditions (e.g., strong winds during typhoons) is one of the natural factors that cause the collapse of frame-type scaffolds used in facade work. This study developed an alert system for use in determining whether the scaffold structure could withstand the stress of the wind force. Conceptually, the scaffolds collapsed by the warning system developed in the study contains three modules. The first module involves the establishment of wind velocity prediction models. This study employed various deep learning and machine learning techniques, namely deep neural networks, long short-term memory neural networks, support vector regressions, random forest, and k-nearest neighbors. Then, the second module contains the analysis of wind force on the scaffolds. The third module involves the development of the scaffold collapse evaluation approach. The study area was Taichung City, Taiwan. This study collected meteorological data from the ground stations from 2012 to 2019. Results revealed that the system successfully predicted the possible collapse time for scaffolds within 1 to 6 h, and effectively issued a warning time. Overall, the warning system can provide practical warning information related to the destruction of scaffolds to construction teams in need of the information to reduce the damage risk.","[Wei, Chih-Chiang] Natl Taiwan Ocean Univ, Dept Marine Environm Informat, Keelung 20224, Taiwan; [Wei, Chih-Chiang] Natl Taiwan Ocean Univ, Ctr Excellence Ocean Engn, Keelung 20224, Taiwan",National Taiwan Ocean University; National Taiwan Ocean University,"Wei, CC (corresponding author), Natl Taiwan Ocean Univ, Dept Marine Environm Informat, Keelung 20224, Taiwan.;Wei, CC (corresponding author), Natl Taiwan Ocean Univ, Ctr Excellence Ocean Engn, Keelung 20224, Taiwan.",ccwei@ntou.edu.tw,,,,,,,,2,2,,,,,,,,,,,,2021,27,4,,,,,230,245,,10.3846/jcem.2021.14649,http://dx.doi.org/10.3846/jcem.2021.14649,,,,"Engineering, Civil",,,,,,,,2024-01-16,WOS:000644704700002,View Full Record in Web of Science
J,"Li, Y; Wang, P; Feng, QL; Ji, XH; Jin, DJ; Gong, JH",,,,"Li, Yi; Wang, Ping; Feng, Quanlong; Ji, Xiaohui; Jin, Dingjian; Gong, Jianhua",,,Landslide detection based on shipborne images and deep learning models: a case study in the Three Gorges Reservoir Area in China,LANDSLIDES,,,,Article,,,,,,Shipborne image; Landslide; CNN; ViT; Transfer learning; Model fusion,CLASSIFICATION,"Landslides are one of the main geological disasters in the riparian zone of the Three Gorges Reservoir Area (TGRA) in China, causing massive losses in terms of industrial and agricultural production and people's lives and property. Due to the difficulty of data collection and lack of facade information, the remote sensing methods currently used for landslide mapping and detection are insufficient. The current landslide information acquisition method is mainly based on visual interpretation and automatic computer classification from aerial orthophotographs, which is subjective and time-consuming and yields low accuracy. New shipborne photogrammetry has unique advantages in small and steep slope landslide detection. In recent years, the deep learning technology represented by convolutional neural networks (CNNs) exhibits more powerful feature learning ability in image recognition than traditional machine learning technology. Meanwhile, transfer learning can make the network suitable for small datasets through fine-tuning, which could transfer the parameters of the pretrained model to the new model in a certain way, thereby increasing the learning efficiency of the model. In this paper, the training of multiple deep learning models is realized through transfer learning, and automatic identification of landslides based on shipborne images is achieved through decision-level fusion. The experimental results show that through the integration of decision-level fusion and transfer learning, it performs well in the classification of landslides based on shipborne images.","[Feng, Quanlong] China Agr Univ, Coll Land Sci & Technol, Beijing 100193, Peoples R China; [Li, Yi; Gong, Jianhua] Chinese Acad Sci, Aerosp Informat Res Inst, Natl Engn Res Ctr Geoinformat, Beijing 100094, Peoples R China; [Wang, Ping; Ji, Xiaohui] Chinese Univ Geosci, Sch Informat Engn, Beijing 100083, Peoples R China; [Jin, Dingjian] China Aero Geophys Survey & Remote Sensing Ctr Nat, Beijing 100083, Peoples R China",China Agricultural University; Chinese Academy of Sciences,"Feng, QL (corresponding author), China Agr Univ, Coll Land Sci & Technol, Beijing 100193, Peoples R China.",liyi@aircas.ac.cn; 2104200060@cugb.edu.cn; fengql@cau.edu.cn; xhji@cugb.edu.cn; jindj@radi.ac.cn; gongjh@aircas.ac.cn,,,,,,,,2,2,,,,,,,,,,,MAR,2023,20,3,,,,,547,558,,10.1007/s10346-022-01997-2,http://dx.doi.org/10.1007/s10346-022-01997-2,,DEC 2022,,"Engineering, Geological; Geosciences, Multidisciplinary",,,,,,,,2024-01-16,WOS:000893364400001,View Full Record in Web of Science
C,"Yu, Q; Malaeb, J; Ma, WJ",,,IEEE,"Yu, Qiu; Malaeb, Jamal; Ma, Wenjun",,,Architectural Facade Recognition and Generation through Generative Adversarial Networks,2020 INTERNATIONAL CONFERENCE ON BIG DATA & ARTIFICIAL INTELLIGENCE & SOFTWARE ENGINEERING (ICBASE 2020),,,,Proceedings Paper,International Conference on Big Data and Artificial Intelligence and Software Engineering (ICBASE),"OCT 23-25, 2020","Chengdu, PEOPLES R CHINA",,,facade; GAN; image recognition; image generation,,"With the development of artificial intelligence technology, the ideas of machine learning have been introduced into the field of design in recent years. The research methods of AI + Architecture have brought new ideas for solving traditional problems. Generative Adversarial Network (GAN) is a machine learning model for image generation. Pix2pix is an improved version of GAN, which is specially designed to learn and generate pairs of image data with similar characteristics. In this study, Pix2pix is applied to the recognition and generation of building facade. The purpose is to explore the feasibility of using image generation technology to achieve rapid recognition and generation of building facade based on pix2pix. This paper also discusses the application scenarios of this technology. The existing building facade datasets and the self-made Chinese traditional building datasets are used to test and verify that pix2pix under different types of datasets can nicely identify and generate facade images. Then we summarize a set of working methods based on GAN to realize the overall or local reconstruction design of the facade, so as to provide new ideas for the improvement of the efficiency of related industries and the expansion of teaching tools.","[Yu, Qiu; Malaeb, Jamal; Ma, Wenjun] Shanghai Jiao Tong Univ, Sch Design, Dept Architecture, Shanghai 200240, Peoples R China; [Ma, Wenjun] China Inst Urban Governance, Shanghai 200030, Peoples R China",Shanghai Jiao Tong University,"Ma, WJ (corresponding author), Shanghai Jiao Tong Univ, Sch Design, Dept Architecture, Shanghai 200240, Peoples R China.;Ma, WJ (corresponding author), China Inst Urban Governance, Shanghai 200030, Peoples R China.",mwj@sjtu.edu.cn,,,,,,,,5,6,,,,,,,,,,,,2020,,,,,,,310,316,,10.1109/ICBASE51474.2020.00072,http://dx.doi.org/10.1109/ICBASE51474.2020.00072,,,,"Computer Science, Artificial Intelligence; Computer Science, Software Engineering; Computer Science, Theory & Methods",,,,,,,,2024-01-16,WOS:000671885700066,View Full Record in Web of Science
J,"Chen, YL; Zhu, ZL; Lin, ZJ; Zhou, YM",,,,"Chen, Yulong; Zhu, Zilong; Lin, Zhijie; Zhou, Youmei",,,Building Surface Crack Detection Using Deep Learning Technology,BUILDINGS,,,,Article,,,,,,building; surface crack detection; convolutional neural networks; image analysis; image segmentation,,"Cracks in building facades are inevitable due to the age of the building. Cracks found in the building facade may be further exacerbated if not corrected immediately. Considering the extensive size of some buildings, there is definitely a need to automate the inspection routine to facilitate the inspection process. The incorporation of deep learning technology for the classification of images has proven to be an effective method in many past civil infrastructures like pavements and bridges. There is, however, limited research in the built environment sector. In order to align with the Smart Nation goals of the country, the use of Smart technologies is necessary in the building and construction industry. The focus of the study is to identify the effectiveness of deep learning technology for image classification. Deep learning technology, such as Convolutional Neural Networks (CNN), requires a large amount of data in order to obtain good performance. It is, however, difficult to collect the images manually. This study will cover the transfer learning approach, where image classification can be carried out even with limited data. Using the CNN method achieved an accuracy level of about 89%, while using the transfer learning model achieved an accuracy of 94%. Based on this, it can be concluded that the transfer learning method achieves better performance as compared to the CNN method with the same amount of data input.","[Chen, Yulong] Zhejiang Coll Construct, Fac Architecture & Art, Hangzhou 311215, Peoples R China; [Chen, Yulong] City Univ Macau, Fac Innovat & Design, Taipa, Macau, Peoples R China; [Zhu, Zilong; Lin, Zhijie] Zhejiang Univ Sci & Technol, Sch Informat & Elect Engn, Hangzhou 310023, Peoples R China; [Zhou, Youmei] Beijing Forestry Univ, Sch Art & Design, Beijing 100107, Peoples R China",City University of Macau; Zhejiang University of Science & Technology; Beijing Forestry University,"Zhou, YM (corresponding author), Beijing Forestry Univ, Sch Art & Design, Beijing 100107, Peoples R China.",u21092120147@cityu.mo; linzhijie@zust.edu.cn; 20310231@tongji.edu.cn,,,,,,,,0,0,,,,,,,,,,,JUL,2023,13,7,,,,,,,1814,10.3390/buildings13071814,http://dx.doi.org/10.3390/buildings13071814,,,,"Construction & Building Technology; Engineering, Civil",,,,,,,,2024-01-16,WOS:001035167300001,View Full Record in Web of Science
J,"Wang, LJ; Zhao, QH",,,,"Wang, Lijuan; Zhao, Qihua",,,Deformation Analysis and Research of Building Envelope by Deep Learning Technology under the Reinforcement of the Diaphragm Wall,COMPUTATIONAL INTELLIGENCE AND NEUROSCIENCE,,,,Article,,,,,,,STATIONS,"The safety analysis of underground buildings is the most crucial problem in the construction industry. This work aims to optimize the safety analysis results of the underground building envelope and comprehensively improve the safety of the underground building. Long short-term memory (LSTM) can make long-term and short-term predictions, thus reducing the model's prediction error. Applying it to the deformation analysis, data prediction of the underground building envelope can improve the accuracy of the deformation prediction of the envelope. This work deeply discusses deep learning technology and the principle of the LSTM model. Based on the safety analysis concept of the underground building envelope, LSTM underground building envelope deformation's prediction model is established and comprehensively evaluated. The results show that in the prediction of horizontal displacement of foundation pit pile of diaphragm wall, the mean relative error (MRE) of the prediction results of the designed model range in 10%-18%, and the calculation time ranges 15-36 s. In the settlement displacement prediction, the model's MRE is within the range of 5%-7%, and the calculation time is within the range of 17-40 s. With the increase of training times, the prediction accuracy of the model increases, and the calculation time becomes relatively stable. Compared with other models, the relative error of prediction results is about 5.4% at the highest and 1.8% at the lowest. This work provides technical support for improving the safety prediction accuracy of the underground building envelope and provides some reference value for the comprehensive development of the underground building industry.","[Wang, Lijuan; Zhao, Qihua] Chengdu Univ Technol, State Key Lab GeoHazard Prevent & Geoenvironm Prot, Chengdu 610059, Peoples R China",Chengdu University of Technology,"Zhao, QH (corresponding author), Chengdu Univ Technol, State Key Lab GeoHazard Prevent & Geoenvironm Prot, Chengdu 610059, Peoples R China.",wanglj1019@163.com; qhzhao310@163.com,,,,,,,,0,0,,,,,,,,,,,SEP 14,2022,2022,,,,,,,,9489445,10.1155/2022/9489445,http://dx.doi.org/10.1155/2022/9489445,,,,Mathematical & Computational Biology; Neurosciences,,,,,,,,2024-01-16,WOS:000864450000003,View Full Record in Web of Science
J,"Yang, J; Shi, ZK; Wu, ZY",,,,"Yang, Jun; Shi, Zhong-Ke; Wu, Zi-Yan",,,Towards Automatic Generation of As-built BIM: 3D Building Facade Modeling and Material Recognition from Images,INTERNATIONAL JOURNAL OF AUTOMATION AND COMPUTING,,,,Article,,,,,,As-built Building information models (BIM); image reconstruction; modeling; material recognition; three dimensional,,"As-built building information model (BIM) is an urgent need of the architecture, engineering, construction and facilities management (AEC/FM) community. However, its creation procedure is still labor-intensive and far from maturity. Taking advantage of prevalence of digital cameras and the development of advanced computer vision technology, the paper proposes to reconstruct a building facade and recognize its surface materials from images taken from various points of view. These can serve as initial steps towards automatic generation of as-built BIM. Specifically, 3D point clouds are generated from multiple images using structure from motion method and then segmented into planar components, which are further recognized as different structural components through knowledge based reasoning. Windows are detected through a multilayered complementary strategy by combining detection results from every semantic layer. A novel machine learning based 3D material recognition strategy is presented. Binary classifiers are trained through support vector machines. Material type at a given 3D location is predicted by all its corresponding 2D feature points. Experimental results from three existing buildings validate the proposed system.","[Yang, Jun; Wu, Zi-Yan] Northwestern Polytech Univ, Sch Mech Civil Engn & Architecture, Xian 710072, Shaanxi, Peoples R China; [Shi, Zhong-Ke] Northwestern Polytech Univ, Sch Automat, Xian 710072, Shaanxi, Peoples R China",Northwestern Polytechnical University; Northwestern Polytechnical University,"Yang, J (corresponding author), Northwestern Polytech Univ, Sch Mech Civil Engn & Architecture, Xian 710072, Shaanxi, Peoples R China.",junyang@nwpu.edu.cn; zkshi@nwpu.edu.cn; zywu@nwpu.edu.cn,,,,,,,,25,25,,,,,,,,,,,AUG,2016,13,4,,,,,338,349,,10.1007/s11633-016-0965-7,http://dx.doi.org/10.1007/s11633-016-0965-7,,,,"Automation & Control Systems; Computer Science, Artificial Intelligence",,,,,,,,2024-01-16,WOS:000442397600003,View Full Record in Web of Science
C,"Sezen, G; Cakir, M; Atik, ME; Duran, Z",,"Ziatanova, S; Sithole, G; Barton, J",,"Sezen, G.; Cakir, M.; Atik, M. E.; Duran, Z.",,,DEEP LEARNING-BASED DOOR AND WINDOW DETECTION FROM BUILDING FACADE,"XXIV ISPRS CONGRESS IMAGING TODAY, FORESEEING TOMORROW, COMMISSION IV","International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences",,,Proceedings Paper,"24th ISPRS Congress on Imaging Today, Foreseeing Tomorrow","JUN 06-11, 2022","Nice, FRANCE",,,Deep learning; Building Facade Elements; Object Detection; YOLO; Faster R-CNN,,"Detecting building facade elements is a crucial problem in computer vision for image interpretation. In Building Information Modeling (BIM) studies, the detection of building facade elements has an important role. BIM is a tool that allows maintaining a digital representation of all aspects of building information; therefore, it will enable the storage of almost any data related to a given structure, regarding its geometric and non-geometric aspects. Facade segmentation was first studied in the 1970s using hand-crafted expertise. Later, detection and segmentation studies emerged based on shapes of objects and parametric rules. With the developing technology, deep learning approaches in object detection studies have intensified. It is obvious that the desired analyses can be performed faster with deep learning approaches. However, deep learning methods require large training data. Algorithms that consider different situations and are suitable for real-world scenarios continue to be developed. The need in this direction continues in the literature. In this study, door and window detection was carried out with deep learning on an original data set. The algorithms used are YOLOv3, YOLOv4, YOLOv5, and Faster R-CNN. Precision, recall and mean average precision (mAP) are used as evaluation metrics. As a result of the study, precision, recall, and mAP values with YOLOv5 were obtained as 0.85, 0.72, and 0.79, respectively. With Faster R-CNN with the lowest performance, precision, recall, and mAP were obtained as 0.54, 0.63, and 0.54, respectively.","[Sezen, G.; Cakir, M.; Atik, M. E.; Duran, Z.] Istanbul Tech Univ ITU, Dept Geomat Engn, TR-34469 Istanbul, Turkey",Istanbul Technical University,"Atik, ME (corresponding author), Istanbul Tech Univ ITU, Dept Geomat Engn, TR-34469 Istanbul, Turkey.",sezeng17@itu.edu.tr; cakirmer17@itu.edu.tr; atikm@itu.edu.tr; duranza@itu.edu.tr,,,,,,,,0,0,,,,,,,,,,,,2022,43-B4,,,,,,315,320,,10.5194/isprs-archives-XLIII-B4-2022-315-2022,http://dx.doi.org/10.5194/isprs-archives-XLIII-B4-2022-315-2022,,,,"Geography, Physical; Remote Sensing; Imaging Science & Photographic Technology",,,,,,,,2024-01-16,WOS:000855689800044,View Full Record in Web of Science
J,"Lee, J; Hong, J; Park, G; Kim, HS; Lee, S; Seo, T",,,,"Lee, Jiseok; Hong, Jooyoung; Park, Garam; Kim, Hwa Soo; Lee, Sungon; Seo, TaeWon",,,Contaminated Facade Identification Using Convolutional Neural Network and Image Processing,IEEE ACCESS,,,,Article,,,,,,Cleaning; Contamination; Buildings; Image color analysis; Robots; Training; Object detection; Contaminant detection; convolutional neural network; facade cleaning; image processing,SURFACE CONTAMINATION; SHORT-RANGE; GLASS,"In recent years, as number of new building getting larger, there has been an increased interest in the cleaning of exterior walls. Accordingly, there is a growing interest in automatic cleaning robots that move around the outer building facade. These robots are also required to apply different cleaning methods to remove various contaminants on the outer wall of the building. However, current surface contaminant detection systems can either detect only a single type of contaminant, or are not compact enough for installation on mobile platforms that move around the outer facade. As cleaning workers are able to distinguish various contaminants with the naked eye, we aim to solve this problem by developing a machine-vision system using convolutional neural networks (CNNs) and image processing methods. As it is a compact system that uses only a camera to take pictures and a processor to process the images, it is suitable for applications involving mobile platforms. Object-type contaminants such as avian feces are handled by the YOLOv3 module using the object-detection algorithm. Area-type contaminants such as rusty stains are processed using the color-detection module using the HSV color space, median filter, and flood fill algorithm. Particle-type contaminants such as dust are handled by the grayscale module, converting images to grayscale images and then comparing the average brightness with a reference that is provided in advance. This proposed machine vision system will detect objects, areas, and particle-type contaminants with a single image and some reference images provided in advance.","[Lee, Jiseok; Park, Garam; Seo, TaeWon] Hanyang Univ, Sch Mech Engn, Seoul 04763, South Korea; [Hong, Jooyoung] Seoul Natl Univ, Sch Mech & Aerosp Engn, Seoul 08826, South Korea; [Kim, Hwa Soo] Kyounggi Univ, Sch Mech Syst Engn, Suwon 16227, South Korea; [Lee, Sungon] Hanyang Univ, Sch Elect Engn, Ansan 15588, South Korea",Hanyang University; Seoul National University (SNU); Hanyang University,"Seo, T (corresponding author), Hanyang Univ, Sch Mech Engn, Seoul 04763, South Korea.;Lee, S (corresponding author), Hanyang Univ, Sch Elect Engn, Ansan 15588, South Korea.",sungon@hanyang.ac.kr; taewonseo@hanyang.ac.kr,,,,,,,,5,5,,,,,,,,,,,,2020,8,,,,,,180010,180021,,10.1109/ACCESS.2020.3027839,http://dx.doi.org/10.1109/ACCESS.2020.3027839,,,,"Computer Science, Information Systems; Engineering, Electrical & Electronic; Telecommunications",,,,,,,,2024-01-16,WOS:000578630800001,View Full Record in Web of Science
J,"Ottoni, ALC; de Amorim, RM; Novo, MS; Costa, DB",,,,"Ottoni, Andre Luiz C.; de Amorim, Raphael M.; Novo, Marcela S.; Costa, Dayana B.",,,Tuning of data augmentation hyperparameters in deep learning to building construction image classification with small datasets,INTERNATIONAL JOURNAL OF MACHINE LEARNING AND CYBERNETICS,,,,Article,,,,,,Deep learning; Convolutional neural networks; Hyperparameter tuning; Data augmentation; Building construction image classification,CONVOLUTIONAL NEURAL-NETWORKS; DAMAGE DETECTION; SYSTEM,"Deep Learning methods have important applications in the building construction image classification field. One challenge of this application is Convolutional Neural Networks adoption in a small datasets. This paper proposes a rigorous methodology for tuning of Data Augmentation hyperparameters in Deep Learning to building construction image classification, especially to vegetation recognition in facades and roofs structure analysis. In order to do that, Logistic Regression models were used to analyze the performance of Convolutional Neural Networks trained from 128 combinations of transformations in the images. Experiments were carried out with three architectures of Deep Learning from the literature using the Keras library. The results show that the recommended configuration (Height Shift Range = 0.2; Width Shift Range = 0.2; Zoom Range =0.2) reached an accuracy of 95.6% in the test step of first case study. In addition, the hyperparameters recommended by proposed method also achieved the best test results for second case study: 93.3%.","[Ottoni, Andre Luiz C.] Univ Fed Reconcavo Bahia, Technol & Exact Ctr, Cruz Das Almas, Brazil; [Ottoni, Andre Luiz C.; de Amorim, Raphael M.] Univ Fed Bahia, Elect Engn Grad Program, Salvador, BA, Brazil; [Novo, Marcela S.] Univ Fed Bahia, Dept Elect & Comp Engn, Salvador, BA, Brazil; [Costa, Dayana B.] Univ Fed Bahia, Dept Struct & Construct Engn, Salvador, BA, Brazil",Universidade Federal do Reconcavo da Bahia; Universidade Federal da Bahia; Universidade Federal da Bahia; Universidade Federal da Bahia,"Ottoni, ALC (corresponding author), Univ Fed Reconcavo Bahia, Technol & Exact Ctr, Cruz Das Almas, Brazil.;Ottoni, ALC (corresponding author), Univ Fed Bahia, Elect Engn Grad Program, Salvador, BA, Brazil.",andre.ottoni@ufrb.edu.br; amorimba@gmail.com; marcela.novo@ufba.br; dayanabcosta@ufba.br,,,,,,,,5,5,,,,,,,,,,,JAN,2023,14,1,,,SI,,171,186,,10.1007/s13042-022-01555-1,http://dx.doi.org/10.1007/s13042-022-01555-1,,APR 2022,,"Computer Science, Artificial Intelligence",,,,,,,,2024-01-16,WOS:000782375900001,View Full Record in Web of Science
J,"Lee, K; Hong, G; Sael, L; Lee, S; Kim, H",,,,"Lee, Kisu; Hong, Goopyo; Sael, Lee; Lee, Sanghyo; Kim, Ha Young",,,MultiDefectNet: Multi-Class Defect Detection of Building Facade Based on Deep Convolutional Neural Network,SUSTAINABILITY,,,,Article,,,,,,multi-class defect detection; building faç ade defect; deep learning; Faster R-CNN,DAMAGE DETECTION; CRACK; MODEL; INSPECTION; ALGORITHM; SYSTEM,"Defects in residential building facades affect the structural integrity of buildings and degrade external appearances. Defects in a building facade are typically managed using manpower during maintenance. This approach is time-consuming, yields subjective results, and can lead to accidents or casualties. To address this, we propose a building facade monitoring system that utilizes an object detection method based on deep learning to efficiently manage defects by minimizing the involvement of manpower. The dataset used for training a deep-learning-based network contains actual residential building facade images. Various building designs in these raw images make it difficult to detect defects because of their various types and complex backgrounds. We employed the faster regions with convolutional neural network (Faster R-CNN) structure for more accurate defect detection in such environments, achieving an average precision (intersection over union (IoU) = 0.5) of 62.7% for all types of trained defects. As it is difficult to detect defects in a training environment, it is necessary to improve the performance of the network. However, the object detection network employed in this study yields an excellent performance in complex real-world images, indicating the possibility of developing a system that would detect defects in more types of building facades.","[Lee, Kisu; Kim, Ha Young] Yonsei Univ, Grad Sch Informat, 50 Yonsei Ro, Seoul 03722, South Korea; [Hong, Goopyo] Kangwon Natl Univ, Div Architecture & Civil Engn, 346 Jungang Ro, Samcheok Si 25913, Gangwon Do, South Korea; [Sael, Lee] Ajou Univ, Dept Data Sci, 206 World Cup Ro, Suwon 16499, Gyeonggi Do, South Korea; [Lee, Sanghyo] Hanyang Univ, ERICA, Div Smart Convergence Engn, 55 Hanyangdaehak Ro, Ansan 15588, Gyeonggi Do, South Korea",Yonsei University; Kangwon National University; Ajou University; Hanyang University,"Kim, H (corresponding author), Yonsei Univ, Grad Sch Informat, 50 Yonsei Ro, Seoul 03722, South Korea.;Lee, S (corresponding author), Hanyang Univ, ERICA, Div Smart Convergence Engn, 55 Hanyangdaehak Ro, Ansan 15588, Gyeonggi Do, South Korea.",kisu0928@naver.com; goopyoh@kangwon.ac.kr; sael@ajou.ac.kr; mir0903@hanyang.ac.kr; hayoung.kim@yonsei.ac.kr,,,,,,,,12,12,,,,,,,,,,,NOV,2020,12,22,,,,,,,9785,10.3390/su12229785,http://dx.doi.org/10.3390/su12229785,,,,Green & Sustainable Science & Technology; Environmental Sciences; Environmental Studies,,,,,,,,2024-01-16,WOS:000595048500001,View Full Record in Web of Science
