Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Lin, CH; Tsay, YS",,,,"Lin, Chuan-Hsuan; Tsay, Yaw-Shyan",,,A practical decision process for building facade performance optimization by integrating machine learning and evolutionary algorithms,JOURNAL OF ASIAN ARCHITECTURE AND BUILDING ENGINEERING,,,,Article; Early Access,,,,,,Design process; integrated workflow; daylight simulation; energy; thermal comfort,MULTIOBJECTIVE OPTIMIZATION; NEURAL-NETWORK; DESIGN; ENERGY; DAYLIGHT; PREDICTION,"With the development of building design parameterization, more and more designers want to explore design options that optimize performance. However, the enormous time and costs that accompany optimization exploration are often beyond the reach of design practices. The application of machine learning in the construction field in recent years has offered potential solutions. Training predictive models through machine learning enables the rapid assessment of built environment performance and thus brings the optimization process closer to reality. In this paper, we mainly developed a process that integrates machine learning predictive model and multi-objective algorithms to achieve rapid evaluation and obtain optimal solutions. Using facade design as a case study, we demonstrate the design decision process with regard to the optimized solutions. The results showed that, through the proposed visual design decision process, designers can easily compare the performance and design appearance of different solutions and make informed decisions. In addition to saving 87% of time compared to the traditional simulation process, the integrated process also introduced the predictive model, which can achieve optimization exploration in one day. These results all demonstrate that the use of an integrated approach boasts considerable time advantages and potential feasibility in design practice.","[Lin, Chuan-Hsuan] Taiwan Design Res Inst, Serv Innovat Div, Taipei, Taiwan; [Tsay, Yaw-Shyan] Natl Cheng Kung Univ, Dept Architecture, Tainan, Taiwan",National Cheng Kung University,"Tsay, YS (corresponding author), Natl Cheng Kung Univ, Dept Architecture, Tainan, Taiwan.",tsayys@mail.ncku.edu.tw,,,,,,,,0,0,,,,,,,,,,,2023 AUG 11,2023,,,,,,,,,,10.1080/13467581.2023.2244564,http://dx.doi.org/10.1080/13467581.2023.2244564,,AUG 2023,,Architecture; Construction & Building Technology,,,,,,,,2024-01-16,WOS:001045379500001,View Full Record in Web of Science
C,"Paravolidakis, V; Bacharidis, K; Sarri, F; Ragia, L; Zervakis, M",,,IEEE Instrumentat & Measurement Soc,"Paravolidakis, Vasileios; Bacharidis, Konstantinos; Sarri, Froso; Ragia, Lemonia; Zervakis, Michalis",,,Reduction of Building Facade Model Complexity using Computer Vision,2016 IEEE INTERNATIONAL CONFERENCE ON IMAGING SYSTEMS AND TECHNIQUES (IST),IEEE International Conference on Imaging Systems and Techniques,,,Proceedings Paper,IEEE International Conference on Imaging Systems and Techniques (IST) / IEEE International School on Imaging,"OCT 04-06, 2016","Chania, GREECE",,,3D building reconstruction; stereo vision; fusion of camera with geo-reference data; active contours model,,"3D Building facade reconstruction enables the implementation of delicate actions related to restoration, support and presentation of architectural structures. In particular, model complexity can be significantly reduced through the incorporation of computer vision and image processing tools, aiming towards the estimation of structural 3D feature characteristics instead of their actual GPS specification. In this paper we present a strategy for constructing reduced-complexity 3D models, which combines stereo vision images and morphological processing methods. Initially, the building skeleton is extracted and modeled with the use of Hough transformation and Active Contours. Subsequently, the building's facade depth map is derived using the stereo camera layout, for the refinement of inner skeleton details, such as the protrusion of windows or doors. These image-driven features are fused with Georeferenced data in order to complete the full building's skeleton model. The proposed reconstruction framework is tested on the site of Neoria buildings, a historical (Venetian) site in Chania, Crete, Greece.","[Paravolidakis, Vasileios; Bacharidis, Konstantinos; Sarri, Froso; Zervakis, Michalis] Tech Univ Crete, Sch Elect & Comp Engn, Kounoupidiano, Chania, Greece; [Ragia, Lemonia] Tech Univ Crete, Sch Environm Engn, Kounoupidiano, Chania, Greece",Technical University of Crete; Technical University of Crete,"Paravolidakis, V (corresponding author), Tech Univ Crete, Sch Elect & Comp Engn, Kounoupidiano, Chania, Greece.",tparavolidakis@isc.tuc.gr; kbacharidis@ist.tuc.gr; esarri@isc.tuc.gr; lragia@isc.tuc.gr; michalis@display.tuc.gr,,,,,,,,2,2,,,,,,,,,,,,2016,,,,,,,454,459,,,,,,,"Computer Science, Artificial Intelligence; Engineering, Electrical & Electronic; Imaging Science & Photographic Technology",,,,,,,,2024-01-16,WOS:000388735200078,View Full Record in Web of Science
J,"Bacharidis, K; Sarri, F; Ragia, L",,,,"Bacharidis, Konstantinos; Sarri, Froso; Ragia, Lemonia",,,3D Building Facade Reconstruction Using Deep Learning,ISPRS INTERNATIONAL JOURNAL OF GEO-INFORMATION,,,,Article,,,,,,3D facade reconstruction; deep learning; computer vision; geo-referenced data,STRUCTURE-FROM-MOTION; PHOTOGRAMMETRY; COMBINATION; MODEL,"In recent years, advances in computer hardware, graphics rendering algorithms and computer vision have enabled the utilization of 3D building reconstructions in the fields of archeological structure restoration and urban planning. This paper deals with the reconstruction of realistic 3D models of buildings facades, in the urban environment for cultural heritage. The proposed approach is an extension of our previous work in this research topic, which introduced a methodology for accurate 3D realistic facade reconstruction by defining and exploiting a relation between stereoscopic image and tacheometry data. In this work, we re-purpose well known deep neural network architectures in the fields of image segmentation and single image depth prediction, for the tasks of facade structural element detection, depth point-cloud generation and protrusion estimation, with the goal of alleviating drawbacks in our previous design, resulting in a more light-weight, robust, flexible and cost-effective design.","[Bacharidis, Konstantinos] Univ Crete, Dept Comp Sci, Iraklion 70013, Greece; [Bacharidis, Konstantinos] Fdn Res & Technol Hellas FORTH, Iraklion 70013, Greece; [Sarri, Froso] Tech Univ Crete, Sch Elect & Comp Engn, Khania 73100, Greece; [Ragia, Lemonia] ATHENA Res & Innovat Informat Technol, Maroussi 15125, Greece",University of Crete; Technical University of Crete,"Ragia, L (corresponding author), ATHENA Res & Innovat Informat Technol, Maroussi 15125, Greece.",kbacharidis@csd.uoc.gr; esarri@isc.tuc.gr; leragia@athenarc.gr,,,,,,,,13,13,,,,,,,,,,,MAY,2020,9,5,,,,,,,322,10.3390/ijgi9050322,http://dx.doi.org/10.3390/ijgi9050322,,,,"Computer Science, Information Systems; Geography, Physical; Remote Sensing",,,,,,,,2024-01-16,WOS:000541105200019,View Full Record in Web of Science
C,"Bayomi, N; El Kholy, M; Fernandez, JE; Velipasalar, S; Rakha, T",,"Martin, CR; Emami, N; Blas, MJ; Rezaee, R",,"Bayomi, Norhan; El Kholy, Mohanned; Fernandez, John E.; Velipasalar, Senem; Rakha, Tarek",,,BUILDING ENVELOPE OBJECT DETECTION USING YOLO MODELS,PROCEEDINGS OF THE 2022 ANNUAL MODELING AND SIMULATION CONFERENCE (ANNSIM'22),,,,Proceedings Paper,70th Annual Modeling and Simulation Conference (ANNSIM),"JUL 18-20, 2022","Soc Modeling & Simulat Int, San Diego, CA",,Soc Modeling & Simulat Int,object detection; deep learning; BEM; artificial neural networks; building performance,ALGORITHM,"Building performance significantly influences energy use and indoor thermal conditions tied to the quality of living for its occupants. Therefore, information on building envelopes is essential, especially considering that envelopes and windows can impact 50% of energy loads in the United States. However, current retrofits supporting Building Energy Modelling (BEM) tools face multiple barriers, including time consumption and labor intensity due to manual modeling and calibration processes. This paper proposes using Deep Learning (DL) -based object detection algorithms to detect building envelope components, more specificlly doors, and windows, that can be applied to building energy performance analysis, 3D modeling, and assessment of thermal irregularities. We compare four different versions of the state-of-the-art YOLO V5 model to identify which version best suits the goal of detecting these building components. Results show that YOLO V5_X provides the best performance for detection accuracy.","[Bayomi, Norhan] MIT, Environm Solut Initiat, 77 Massachusetts Ave, Cambridge, MA 02139 USA; [Bayomi, Norhan] MIT, Urban Metab Grp, 77 Massachusetts Ave, Cambridge, MA 02139 USA; [El Kholy, Mohanned] MIT, Computat & Cognit Program, 77 Massachusetts Ave, Cambridge, MA 02139 USA; [Fernandez, John E.] MIT, Environm Solut Intiat, 77 Massachusetts Ave, Cambridge, MA 02139 USA; [Fernandez, John E.] MIT, Bldg Technol, Dept Architecture & Practicing Architect, 77 Massachusetts Ave, Cambridge, MA 02139 USA; [Velipasalar, Senem] Syracuse Univ, Dept Elect Engn & Comp Sci, Syracuse, NY USA; [Rakha, Tarek] Georgia Inst Technol, Atlanta, GA 30332 USA",Massachusetts Institute of Technology (MIT); Massachusetts Institute of Technology (MIT); Massachusetts Institute of Technology (MIT); Massachusetts Institute of Technology (MIT); Massachusetts Institute of Technology (MIT); Syracuse University; University System of Georgia; Georgia Institute of Technology,"Fernandez, JE (corresponding author), MIT, Environm Solut Intiat, 77 Massachusetts Ave, Cambridge, MA 02139 USA.;Fernandez, JE (corresponding author), MIT, Bldg Technol, Dept Architecture & Practicing Architect, 77 Massachusetts Ave, Cambridge, MA 02139 USA.",nourhan@mit.edu; mohanned@mit.edu; fernande@mit.edu; svelipas@syr.edu; rakha@design.gatech.edu,,,,,,,,1,1,,,,,,,,,,,,2022,,,,,,,617,630,,,,,,,"Computer Science, Interdisciplinary Applications; Mathematics, Applied",,,,,,,,2024-01-16,WOS:000861385300053,View Full Record in Web of Science
J,"Guo, JJ; Wang, Q; Li, YT",,,,"Guo, Jingjing; Wang, Qian; Li, Yiting",,,Semi-supervised learning based on convolutional neural network and uncertainty filter for facade defects classification,COMPUTER-AIDED CIVIL AND INFRASTRUCTURE ENGINEERING,,,,Article,,,,,,,DYNAMIC CLASSIFICATION; INSPECTION,"Developing a classifier to identify the defects from facade images using deep learning requires abundant labeled images. However, it is time-consuming and uneconomical to label the collected images. Hence, it is desired to train an accurate classifier with only a small amount of labeled data. Therefore, this study proposes a semi-supervised learning algorithm that uses only a small amount of labeled data for training, but still achieves high classification accuracy. In addition, based on the mean teacher algorithm, this study develops a novel uncertainty filter to select reliable unlabeled data for initial training epochs to further improve the classification accuracy. Validation experiments demonstrate that the proposed method can improve the model accuracy from 79.26% to 84.36% compared to the traditional supervised learning algorithm with 10% of labeled data in a dataset. From another perspective, compared to supervised learning algorithm, the proposed technique can help reduce the time and cost for preparing the labeled data.","[Guo, Jingjing; Wang, Qian] Natl Univ Singapore, Sch Design & Environm, Dept Bldg, Singapore 117566, Singapore; [Li, Yiting] Natl Univ Singapore, Dept Elect & Comp Engn, Fac Engn, Singapore, Singapore",National University of Singapore; National University of Singapore,"Wang, Q (corresponding author), Natl Univ Singapore, Sch Design & Environm, Dept Bldg, Singapore 117566, Singapore.",bdgwang@nus.edu.sg,,,,,,,,51,52,,,,,,,,,,,MAR,2021,36,3,,,,,302,317,,10.1111/mice.12632,http://dx.doi.org/10.1111/mice.12632,,OCT 2020,,"Computer Science, Interdisciplinary Applications; Construction & Building Technology; Engineering, Civil; Transportation Science & Technology",,,,,,,,2024-01-16,WOS:000579504400001,View Full Record in Web of Science
J,"Li, JT; Cheng, XJ",,,,Li Jintao; Cheng Xiaojun,,,Straight-Line-Segment Feature-Extraction Method for Building-Facade Point-Cloud Data,CHINESE JOURNAL OF LASERS-ZHONGGUO JIGUANG,,,,Article,,,,,,image processing; facade point cloud; slicing; straight-line-segment clustering; 1-norm minimum residual; feature extraction,,"In this study, we propose a straight-line-segment feature-extraction method for the building-facade point-cloud data based on slicing to improve the existing method of detecting and extracting the straight-line-segment features from the building-fa ade point-cloud data, which exhibits problems of missed detection and less-thanoptimal accuracy. Further, the point cloud is sliced along the three coordinate axes after adjusting the point-cloud attitude of the building to ensure that its orientation is consistent with the Y-coordinate axis. Then, the feature points on each slice arc extracted, and straight-line-segment clustering is applied to the extracted feature points based on the cylinder growth method. Finally, the straight-line-segment fitting of the feature points is performed using the 1-norm minimum residual algorithm, and the endpoints of the straight line segment arc adjusted and refined. Subsequently, we validate the proposed method by applying it to several sets of experimental data; the experimental results exhibit improved accuracy, precision, and recall. The extraction accuracy of the straight line segment is half the average point spacing in the point cloud. The precision of the proposed method for extracting straight line segments is increased by 2.4% on average than that of the plane segmentation and image detection methods, whereas the recall is increased by 18.1% on average. Thus, our proposed method can accurately and effectively extract straight line segments from the building-facade point-cloud data.","[Li Jintao; Cheng Xiaojun] Tongji Univ, Coll Surveying & Geoinformat, Shanghai 200092, Peoples R China; [Cheng Xiaojun] Minist Nat Resources, Key Lab Adv Engn Surveying, Shanghai 200092, Peoples R China",Tongji University; Ministry of Natural Resources of the People's Republic of China,"Li, JT; Cheng, XJ (corresponding author), Tongji Univ, Coll Surveying & Geoinformat, Shanghai 200092, Peoples R China.;Cheng, XJ (corresponding author), Minist Nat Resources, Key Lab Adv Engn Surveying, Shanghai 200092, Peoples R China.",lijintaotj@163.com; cxj@tongji.edu.cn,,,,,,,,2,2,,,,,,,,,,,NOV,2019,46,11,,,,,,,1109002,10.3788/CJL201916.1109002,http://dx.doi.org/10.3788/CJL201916.1109002,,,,Optics,,,,,,,,2024-01-16,WOS:000582677000036,View Full Record in Web of Science
C,"Sezen, G; Cakir, M; Atik, ME; Duran, Z",,"Ziatanova, S; Sithole, G; Barton, J",,"Sezen, G.; Cakir, M.; Atik, M. E.; Duran, Z.",,,DEEP LEARNING-BASED DOOR AND WINDOW DETECTION FROM BUILDING FACADE,"XXIV ISPRS CONGRESS IMAGING TODAY, FORESEEING TOMORROW, COMMISSION IV","International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences",,,Proceedings Paper,"24th ISPRS Congress on Imaging Today, Foreseeing Tomorrow","JUN 06-11, 2022","Nice, FRANCE",,,Deep learning; Building Facade Elements; Object Detection; YOLO; Faster R-CNN,,"Detecting building facade elements is a crucial problem in computer vision for image interpretation. In Building Information Modeling (BIM) studies, the detection of building facade elements has an important role. BIM is a tool that allows maintaining a digital representation of all aspects of building information; therefore, it will enable the storage of almost any data related to a given structure, regarding its geometric and non-geometric aspects. Facade segmentation was first studied in the 1970s using hand-crafted expertise. Later, detection and segmentation studies emerged based on shapes of objects and parametric rules. With the developing technology, deep learning approaches in object detection studies have intensified. It is obvious that the desired analyses can be performed faster with deep learning approaches. However, deep learning methods require large training data. Algorithms that consider different situations and are suitable for real-world scenarios continue to be developed. The need in this direction continues in the literature. In this study, door and window detection was carried out with deep learning on an original data set. The algorithms used are YOLOv3, YOLOv4, YOLOv5, and Faster R-CNN. Precision, recall and mean average precision (mAP) are used as evaluation metrics. As a result of the study, precision, recall, and mAP values with YOLOv5 were obtained as 0.85, 0.72, and 0.79, respectively. With Faster R-CNN with the lowest performance, precision, recall, and mAP were obtained as 0.54, 0.63, and 0.54, respectively.","[Sezen, G.; Cakir, M.; Atik, M. E.; Duran, Z.] Istanbul Tech Univ ITU, Dept Geomat Engn, TR-34469 Istanbul, Turkey",Istanbul Technical University,"Atik, ME (corresponding author), Istanbul Tech Univ ITU, Dept Geomat Engn, TR-34469 Istanbul, Turkey.",sezeng17@itu.edu.tr; cakirmer17@itu.edu.tr; atikm@itu.edu.tr; duranza@itu.edu.tr,,,,,,,,0,0,,,,,,,,,,,,2022,43-B4,,,,,,315,320,,10.5194/isprs-archives-XLIII-B4-2022-315-2022,http://dx.doi.org/10.5194/isprs-archives-XLIII-B4-2022-315-2022,,,,"Geography, Physical; Remote Sensing; Imaging Science & Photographic Technology",,,,,,,,2024-01-16,WOS:000855689800044,View Full Record in Web of Science
J,"Aznar, F; Echarri, V; Rizo, C; Rizo, R",,,,"Aznar, Fidel; Echarri, Victor; Rizo, Carlos; Rizo, Ramon",,,Modelling the thermal behaviour of a building facade using deep learning,PLOS ONE,,,,Article,,,,,,,OPTIMUM INSULATION-THICKNESS; ARTIFICIAL NEURAL-NETWORK; IN-SITU MEASUREMENT; EXTERNAL WALLS,"This article aims to model the thermal behaviour of a wall using deep learning techniques. The Fourier theoretical model which is traditionally used to model such enclosures is not capable of considering several factors that affect a prediction that is often incorrect. These results motivate us to try to obtain a better thermal model of the enclosure. For this reason, a connexionist model is provided capable of modelling the behaviour of the enclosure from actual observed temperature data. For the training of this model, several measurements have been obtained over the course of more than one year in a specific enclosure, distributing the readings among the different layers of it. In this work, the predictions of both the theoretical model and the connexionist model have been tested, contrasting them with the measurements obtained previously. It has been observed that the connexionist model substantially improves the theoretical predictions of the Fourier method, thus allowing better approximations to be made regarding the real energy consumption of the building and, in general, the prediction of the energy behaviour of the enclosure.","[Aznar, Fidel; Rizo, Ramon] Univ Alicante, Dept Comp Sci & Artificial Intelligence, Alicante, Spain; [Echarri, Victor; Rizo, Carlos] Univ Alicante, Dept Architectural Construct, Alicante, Spain",Universitat d'Alacant; Universitat d'Alacant,"Aznar, F (corresponding author), Univ Alicante, Dept Comp Sci & Artificial Intelligence, Alicante, Spain.",fidel@dccia.ua.es,,,,,,,,11,11,,,,,,,,,,,DEC 21,2018,13,12,,,,,,,e0207616,10.1371/journal.pone.0207616,http://dx.doi.org/10.1371/journal.pone.0207616,,,,Multidisciplinary Sciences,,,,,,,,2024-01-16,WOS:000454149400005,View Full Record in Web of Science
J,"Bhamare, DK; Saikia, P; Rathod, MK; Rakshit, D; Banerjee, J",,,,"Bhamare, Dnyandip K.; Saikia, Pranaynil; Rathod, Manish K.; Rakshit, Dibakar; Banerjee, Jyotirmay",,,A machine learning and deep learning based approach to predict the thermal performance of phase change material integrated building envelope,BUILDING AND ENVIRONMENT,,,,Article,,,,,,PCM integrated Roof; MKR index; Machine learning; Deep learning; Performance prediction; Artificial neural network,CHANGE MATERIAL PCM; RANDOM FOREST; ENERGY-SYSTEMS; REGRESSION; ROOF; OPTIMIZATION; TEMPERATURE; NETWORK; REDUCE; HOLES,"This study aims to develop a machine learning and deep learning-based model for thermal performance prediction of PCM integrated roof building. Performance prediction is carried out using the newly proposed MKR index. Five machine learning and one deep learning technique are explored in order to predict the thermal performance of PCM integrated roof considering variations in thermophysical properties of PCM. Total 500 data points are generated using numerical simulations considering variations in thermophysical properties of PCM. The five machine learning models used in this study are Random forest regression, Extra trees regression, Gradient boosting regression, Extreme Gradient boosting regression, and Catboost regression. The results indicate that Gradient boosting regression is the best-performing model compared to other machine learning models. An artificial neural network is used as a deep learning approach for predicting the MKR index. The ANN-based model performed best among all five machine learning models and proved its efficacy in training, testing, and sensitivity analysis with the independent dataset.","[Bhamare, Dnyandip K.; Rathod, Manish K.; Banerjee, Jyotirmay] Sardar Vallabhbhai Natl Inst Technol, Mech Engn Dept, Surat 395007, Gujarat, India; [Saikia, Pranaynil; Rakshit, Dibakar; Banerjee, Jyotirmay] Indian Inst Technol, Ctr Energy Studies, New Delhi 110016, India",National Institute of Technology (NIT System); Sardar Vallabhbhai National Institute of Technology; Indian Institute of Technology System (IIT System); Indian Institute of Technology (IIT) - Delhi,"Rathod, MK (corresponding author), Sardar Vallabhbhai Natl Inst Technol, Mech Engn Dept, Surat 395007, Gujarat, India.;Rakshit, D (corresponding author), Indian Inst Technol, Ctr Energy Studies, New Delhi 110016, India.",mkr@med.svnit.ac.in; dibakar@iitd.ac.in,,,,,,,,28,29,,,,,,,,,,,JUL 15,2021,199,,,,,,,,107927,10.1016/j.buildenv.2021.107927,http://dx.doi.org/10.1016/j.buildenv.2021.107927,,MAY 2021,,"Construction & Building Technology; Engineering, Environmental; Engineering, Civil",,,,,,,,2024-01-16,WOS:000663460400001,View Full Record in Web of Science
C,"Hoegner, L; Stilla, U",,"Stilla, U; Heipke, C",,"Hoegner, L.; Stilla, U.",,,BUILDING FACADE OBJECT DETECTION FROM TERRESTRIAL THERMAL INFRARED IMAGE SEQUENCES COMBINING DIFFERENT VIEWS,"PIA15+HRIGI15 - JOINT ISPRS CONFERENCE, VOL. II","ISPRS Annals of the Photogrammetry, Remote Sensing and Spatial Information Sciences",,,Proceedings Paper,Joint ISPRS Conference on Photogrammetric Image Analysis (PIA) and High Resolution Earth Imaging for Geospatial Information (HRIGI),"MAR 25-27, 2015","Technische Univ Munchen, Munich, GERMANY",,Technische Univ Munchen,Urban; Combination; Terrestrial; Infrared; Sequences; Extraction; Texture; Building,POSE ESTIMATION; RECONSTRUCTION; STEREO,This paper discusses the automatic texturing of building facades from thermal infrared image sequences. A fully automatic method is presented to refine GPS based positions estimating relative orientations of the image sequences including a given building model in a bundle adjustment process. The resulting refined orientation parameters are used to extract partial facade textures from all images and all sequences. The resulting partial textures of every sequence are combined to get complete facade textures in the thermal infrared domain. Textures from different image sequences are combined for object detection and extraction. These sequences are acquired either at different times for different radiometric thermal behavior of facade objects or with different viewing directions for objects located before or behind the facade plane.,"[Hoegner, L.; Stilla, U.] Tech Univ Muenchen, Photogrammetry & Remote Sensing, Munich, Germany",Technical University of Munich,"Hoegner, L (corresponding author), Tech Univ Muenchen, Photogrammetry & Remote Sensing, Munich, Germany.",ludwig.hoegner@tum.de; stilla@tum.de,,,,,,,,17,18,,,,,,,,,,,,2015,2-3,W4,,,,,55,62,,10.5194/isprsannals-II-3-W4-55-2015,http://dx.doi.org/10.5194/isprsannals-II-3-W4-55-2015,,,,"Geography, Physical; Remote Sensing; Imaging Science & Photographic Technology",,,,,,,,2024-01-16,WOS:000352727000008,View Full Record in Web of Science
